ciudad;nombre;rubro;ubicacion;numero de telefono;redes sociales;contactado;respondio ok;respuesta negativa;ultimo mensaje enviado
Mar del Plata;ALMA Estilistas;Peluquería;Córdoba 3298 (esq. Roca), Mar del Plata;+542234593893;;FALSE;FALSE;FALSE;
Mar del Plata;Diego Dap's;Peluquería;San Luis 2608, Mar del Plata;+542234460252;;FALSE;FALSE;FALSE;
Mar del Plata;Geo Estilistas;Peluquería;Rivadavia 2522, Mar del Plata;+542236335707;;FALSE;FALSE;FALSE;
Mar del Plata;URBAN CUT Barbería;Barbería / Peluquería;Rawson 1774, Mar del Plata;+541126334403;;FALSE;FALSE;FALSE;
Mar del Plata;White Estilistas y Barberos;Barbería / Peluquería;La Rioja 1918, Mar del Plata;+542235717652;;FALSE;FALSE;FALSE;
Mar del Plata;Peluquería Nurihar de Mary Sierra;Peluquería;Av. T. A. Edison 1099, Mar del Plata;+542235246796;;FALSE;FALSE;FALSE;
Mar del Plata;Florencia Chica Estilista;Peluquería / Estética;Olavarría 2268, Mar del Plata;+542236339525;;FALSE;FALSE;FALSE;
Mar del Plata;Salón de Belleza María Susana;Salón de belleza;Av. J. H. Jara 434, Mar del Plata;+542234731057;;FALSE;FALSE;FALSE;
Mar del Plata;Niki Beauty Bar Mar del Plata;Centro de estética;San Luis 1989, Mar del Plata;+541168110437;;FALSE;FALSE;FALSE;
Mar del Plata;AWWA Láser & Estética;Centro de estética;Gral. Roca 1522, Mar del Plata;+542236867257;;FALSE;FALSE;FALSE;
Mar del Plata;Lyssa Beauty Studio;Centro de estética;3 de Febrero 2934, Mar del Plata;+542236237391;;FALSE;FALSE;FALSE;
Mar del Plata;MIMOSCOTA;Estética / Peluquería canina;Bolívar 3268, Mar del Plata;+542233390282;@mimoscota;FALSE;FALSE;FALSE;
Mar del Plata;Peluquería Canina Sebastian;Peluquería canina;Corrientes 2524, Mar del Plata;+542235769117;;FALSE;FALSE;FALSE;
Mar del Plata;Animalito's Estética Canina y Boutique;Estética / Peluquería canina;Moreno 2843, Mar del Plata;+542235911737;;FALSE;FALSE;FALSE;
Mar del Plata;De Pelos Estética Canina;Estética canina;French 5453, Mar del Plata;+542233575400;;FALSE;FALSE;FALSE;
Mar del Plata;LAVADERO CANINO;Lavadero / Peluquería canina;Av. Jacinto Peralta Ramos 555, Mar del Plata;+542234780096;;FALSE;FALSE;FALSE;
